"","lizard_id","position","species","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","temp","cort","first_non_na","Associative_Trial"
"144",1257,"D4","delicata","B_23","CL334_22",111,"27/3/2023","13/4/2023",17,"Blue",5,"L",1,"",1,5,"C",0,1,"","Cold","CORT",3,3
"145",1174,"E2","delicata","A_23","CL313_22",132,"31/3/2023","13/4/2023",13,"Red",5,"R",1,"",1,5,"L",0,1,"","Cold","Control",1,5
"146",1402,"E2","delicata","A_28","CL377_22",118,"1/4/2023","13/4/2023",12,"Red",5,"R",1,"",1,5,"C",1,1,"","Hot","Control",1,5
"147",2255,"E2","delicata","B_28","CL607_22",66,"2/4/2023","13/4/2023",11,"Blue",5,"L",1,"",1,5,"R",1,1,"","Hot","CORT",5,1
"148",1172,"E4","delicata","B_28","CL313_22",148,"10/4/2023","13/4/2023",3,"Red",5,"C",0,"",0,5,"R",1,1,"","Hot","CORT",3,3
"149",1230,"F1","delicata","B_28","CL327_22",132,"29/3/2023","13/4/2023",15,"Blue",5,"R",0,"",1,5,"C",0,1,"","Hot","CORT",1,5
"150",2351,"F1","delicata","A_28","CL634_23",59,"6/4/2023","13/4/2023",7,"Blue",5,"R",0,"",1,5,"L",0,1,"","Hot","Control",1,5
"151",1182,"F3","delicata","B_23","CL315_22",122,"29/3/2023","13/4/2023",15,"Red",5,"R",1,"",1,5,"L",1,1,"","Cold","CORT",1,5
"152",1424,"F3","delicata","A_23","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",5,"L",1,"",1,5,"R",0,1,"","Cold","Control",1,5
"153",2486,"F3","delicata","B_28","CL677_23",45,"2/4/2023","13/4/2023",11,"Blue",5,"R",1,"",1,5,"C",0,1,"","Hot","CORT",1,5
"154",1258,"G2","delicata","A_28","CL334_22",129,"28/3/2023","13/4/2023",16,"Blue",5,"L",1,"",1,5,"L",0,0,"","Hot","Control",1,5
"155",1328,"G2","delicata","A_23","CL357_22",108,"5/4/2023","13/4/2023",8,"Red",5,"R",0,"",0,5,"R",0,1,"","Cold","Control",1,5
"156",1408,"G2","delicata","B_28","CL379_22",120,"28/3/2023","13/4/2023",16,"Red",5,"L",0,"",1,5,"C",0,1,"","Hot","CORT",1,5
"157",1334,"G4","delicata","A_28","CL358_22",127,"31/3/2023","13/4/2023",13,"Blue",5,"R",0,"",1,5,"R",0,1,"","Hot","Control",1,5
"158",1619,"G4","delicata","B_23","CL440_22",80,"7/4/2023","13/4/2023",6,"Red",5,"C",0,"",1,5,"L",1,1,"","Cold","CORT",1,5
"159",1382,"A1","delicata","B_28","CL373_22",118,"1/4/2023","13/4/2023",12,"Blue",6,"R",1,"",1,6,"L",0,0,"","Hot","CORT",2,5
