"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal"
"152",1619,"G4","delicata","Female","CORT Cold","CL440_22",80,"7/4/2023","13/4/2023",6,"Red",2,"C",0,"",1,2,"C",1,1,""
"153",1674,"G1","guichenoti","Female","CORT Cold","CL455_22",94,"6/4/2023","13/4/2023",7,"Red",2,"L",NA,"",0,2,"R",0,1,""
"154",1795,"G3","guichenoti","Female","Control Cold","CL489_22",66,"5/4/2023","13/4/2023",8,"Blue",2,"L",1,"",1,2,"R",0,1,""
"155",2009,"G1","guichenoti","Male",NA,"CL542_22",78,"3/4/2023","13/4/2023",10,"Blue",2,"R",NA,"",0,2,"C",1,1,""
"156",2047,"B3","guichenoti","Male","Control Cold","CL552_22",55,"27/3/2023","13/4/2023",17,"Blue",2,"C",1,"",1,2,"C",0,1,""
"157",2073,"A1","delicata","Male","CORT Cold","CL560_22",57,"22/3/2023","13/4/2023",22,"Blue",2,"C",1,"",1,2,"R",0,1,""
"158",2081,"G3","guichenoti","Male","CORT Cold","CL562_22",52,"3/4/2023","13/4/2023",10,"Blue",2,"C",0,"",1,2,"L",1,1,""
"159",2105,"C4","delicata","Female","CORT Cold","CL569_22",59,"1/4/2023","13/4/2023",12,"Blue",2,"L",NA,"",0,2,"C",1,1,""
"160",2106,"F3","delicata","Female",NA,"CL569_22",78,"9/4/2023","13/4/2023",4,"Blue",2,"R",NA,"More than one cricket eaten",0,2,"R",0,0,""
"161",2164,"E3","guichenoti","Female","CORT Cold","CL584_22",48,"20/3/2023","13/4/2023",24,"Blue",2,"C",NA,"",0,2,"L",0,0,""
"162",2205,"C2","delicata","Male",NA,"CL595_22",69,"9/4/2023","13/4/2023",4,"Blue",2,"C",1,"",1,2,"C",0,1,""
"163",2242,"G4","delicata","Male","Control Hot","CL604_22",66,"1/4/2023","13/4/2023",12,"Blue",2,"R",NA,"",0,2,"L",0,1,""
"164",2255,"E2","delicata","Female","Control Hot","CL607_22",66,"2/4/2023","13/4/2023",11,"Blue",2,"C",NA,"",0,2,"C",0,1,""
"165",2298,"A2","guichenoti","Female","Control Hot","CL619_23",62,"26/3/2023","13/4/2023",18,"Blue",2,"C",1,"",1,2,"L",0,0,""
"166",2346,"E4","delicata","Female","CORT Cold","CL633_23",41,"11/4/2023","13/4/2023",2,"Blue",2,"R",NA,"",0,2,"C",0,0,""
"167",2351,"F1","delicata","Male",NA,"CL634_23",59,"6/4/2023","13/4/2023",7,"Blue",2,"L",1,"",1,2,"L",0,1,""
"168",2486,"F3","delicata","Female","Control Hot","CL677_23",45,"2/4/2023","13/4/2023",11,"Blue",2,"C",1,"",1,2,"C",0,0,""
"169",1166,"D4","delicata","Female",NA,"CL312_22",143,"4/4/2023","13/4/2023",9,"Red",3,"C",0,"",1,3,"C",1,1,""
"170",1172,"E4","delicata","Male","Control Hot","CL313_22",148,"10/4/2023","13/4/2023",3,"Red",3,"R",0,"",0,3,"R",1,1,""
"171",1174,"E2","delicata","Male","Control Cold","CL313_22",132,"31/3/2023","13/4/2023",13,"Red",3,"L",NA,"More than one cricket eaten",1,3,"C",0,1,""
"172",1177,"D1","guichenoti","Male","Control Cold","CL314_22",125,"28/3/2023","13/4/2023",16,"Red",3,"R",NA,"",0,3,"C",0,1,""
"173",1182,"F3","delicata","Male","CORT Cold","CL315_22",122,"29/3/2023","13/4/2023",15,"Red",3,"C",0,"",1,3,"C",1,1,""
"174",1192,"D4","delicata","Male","Control Cold","CL317_22",120,"29/3/2023","13/4/2023",15,"Red",3,"L",0,"",1,3,"R",0,1,""
